,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
153,maldonado,uy,-34.91,-54.96,55.4,16.11,93.0,90.0
155,tokur,ru,53.13,132.9,55.31,2.82,91.0,100.0
156,artvin,tr,41.18,41.83,64.4,8.05,88.0,75.0
157,rajula,in,21.04,71.44,78.26,6.96,96.0,0.0
158,great yarmouth,gb,52.61,1.73,55.4,2.24,100.0,36.0
159,bireun,id,5.2,96.7,81.68,5.73,100.0,24.0
161,portland,au,-33.35,149.98,46.85,6.4,70.0,0.0
162,lincoln,nz,-43.64,172.49,46.4,3.36,70.0,76.0
163,hithadhoo,mv,-0.6,73.08,83.93,15.12,100.0,56.0
164,riverton,us,43.02,-108.38,78.8,20.8,22.0,1.0
166,westport,nz,-41.75,171.6,47.48,2.37,95.0,0.0
167,ranong,th,9.96,98.62,77.0,6.93,94.0,75.0
168,fez,ma,34.03,-5.02,62.6,4.7,77.0,40.0
169,danane,ci,7.26,-8.15,72.32,3.6,97.0,92.0
170,santiago,ph,16.69,121.54,81.5,1.48,88.0,12.0
171,ternate,id,0.8,127.4,79.97,6.96,100.0,92.0
172,kodiak,us,39.95,-94.76,89.6,6.93,40.0,1.0
173,yarkovo,ru,54.81,82.6,51.8,8.95,71.0,0.0
178,krasnyy chikoy,ru,50.36,108.75,70.97,2.93,54.0,8.0
179,sharjah,ae,25.36,55.39,91.4,4.7,41.0,0.0
180,angra dos reis,br,-23.01,-44.32,60.8,1.81,87.0,0.0
181,nome,us,30.04,-94.42,87.8,10.29,66.0,1.0
182,kankaanpaa,fi,61.8,22.42,44.6,2.24,87.0,0.0
183,metro,id,-5.11,105.31,79.61,7.18,89.0,64.0
184,ardakan,ir,32.31,54.02,82.4,6.93,20.0,20.0
185,stykkisholmur,is,65.08,-22.73,43.25,5.5,100.0,64.0
186,trelew,ar,-43.25,-65.31,27.86,2.82,83.0,0.0
187,mugur-aksy,ru,50.38,90.44,28.58,2.48,57.0,0.0
188,sawakin,sd,19.1,37.33,77.99,4.27,78.0,8.0
189,upington,za,-28.46,21.24,41.0,3.36,66.0,0.0
190,prachuap khiri khan,th,11.81,99.79,75.11,3.6,85.0,36.0
